==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=3_iter=1
date & time of start is : 2023-07-25 04:31:18
torch version is: 1.13.1
number of GPUs: 4
device: cuda:3
Total Trainable Params: 4.429 M
   training starts!
[Epc 1] tt: 0.813, cl_st: 0.497, cl_wk: 0.632, cn_st: 0.005, cn_wk: 0.000, st_vl: 0.260, t_vl: 0.297, t: 80s
[Epc 2] tt: 0.566, cl_st: 0.322, cl_wk: 0.486, cn_st: 0.023, cn_wk: 0.000, st_vl: 0.014, t_vl: 0.222, t: 57s
[Epc 3] tt: 0.438, cl_st: 0.239, cl_wk: 0.394, cn_st: 0.046, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.201, t: 83s
[Epc 4] tt: 0.423, cl_st: 0.229, cl_wk: 0.386, cn_st: 0.032, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.163, t: 83s
[Epc 5] tt: 0.422, cl_st: 0.231, cl_wk: 0.378, cn_st: 0.021, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.119, t: 83s
[Epc 6] tt: 0.407, cl_st: 0.220, cl_wk: 0.371, cn_st: 0.016, cn_wk: 0.000, st_vl: 0.004, t_vl: 0.104, t: 83s
[Epc 7] tt: 0.402, cl_st: 0.217, cl_wk: 0.368, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.057, t_vl: 0.096, t: 81s
[Epc 8] tt: 0.396, cl_st: 0.213, cl_wk: 0.363, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.074, t_vl: 0.110, t: 58s
[Epc 9] tt: 0.388, cl_st: 0.208, cl_wk: 0.358, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.235, t_vl: 0.077, t: 84s
[Epc 10] tt: 0.386, cl_st: 0.208, cl_wk: 0.354, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.390, t_vl: 0.045, t: 83s
[Epc 11] tt: 0.375, cl_st: 0.204, cl_wk: 0.338, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.236, t_vl: 0.058, t: 83s
[Epc 12] tt: 0.367, cl_st: 0.200, cl_wk: 0.329, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.282, t_vl: 0.102, t: 83s
[Epc 13] tt: 0.360, cl_st: 0.199, cl_wk: 0.315, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.405, t_vl: 0.088, t: 82s
[Epc 14] tt: 0.349, cl_st: 0.194, cl_wk: 0.302, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.491, t_vl: 0.117, t: 58s
[Epc 15] tt: 0.337, cl_st: 0.191, cl_wk: 0.281, cn_st: 0.015, cn_wk: 0.000, st_vl: 0.556, t_vl: 0.162, t: 83s
[Epc 16] tt: 0.328, cl_st: 0.187, cl_wk: 0.270, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.497, t_vl: 0.249, t: 83s
[Epc 17] tt: 0.315, cl_st: 0.181, cl_wk: 0.256, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.643, t_vl: 0.285, t: 83s
[Epc 18] tt: 0.317, cl_st: 0.184, cl_wk: 0.252, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.666, t_vl: 0.364, t: 83s
[Epc 19] tt: 0.309, cl_st: 0.176, cl_wk: 0.251, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.703, t_vl: 0.338, t: 81s
[Epc 20] tt: 0.302, cl_st: 0.173, cl_wk: 0.243, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.801, t_vl: 0.344, t: 56s
[Epc 21] tt: 0.292, cl_st: 0.166, cl_wk: 0.235, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.881, t_vl: 0.378, t: 83s
[Epc 22] tt: 0.295, cl_st: 0.169, cl_wk: 0.234, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.837, t_vl: 0.426, t: 83s
[Epc 23] tt: 0.287, cl_st: 0.165, cl_wk: 0.225, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.851, t_vl: 0.519, t: 83s
[Epc 24] tt: 0.284, cl_st: 0.167, cl_wk: 0.214, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.845, t_vl: 0.609, t: 83s
[Epc 25] tt: 0.271, cl_st: 0.157, cl_wk: 0.206, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.928, t_vl: 0.681, t: 82s
[Epc 26] tt: 0.273, cl_st: 0.157, cl_wk: 0.208, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.999, t_vl: 0.720, t: 69s
[Epc 27] tt: 0.260, cl_st: 0.148, cl_wk: 0.199, cn_st: 0.009, cn_wk: 0.000, st_vl: 1.031, t_vl: 0.770, t: 83s
[Epc 28] tt: 0.267, cl_st: 0.151, cl_wk: 0.205, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.976, t_vl: 0.800, t: 82s
[Epc 29] tt: 0.262, cl_st: 0.150, cl_wk: 0.197, cn_st: 0.008, cn_wk: 0.000, st_vl: 1.063, t_vl: 0.855, t: 82s
[Epc 30] tt: 0.268, cl_st: 0.156, cl_wk: 0.196, cn_st: 0.008, cn_wk: 0.000, st_vl: 1.075, t_vl: 0.941, t: 83s
[Epc 31] tt: 0.253, cl_st: 0.141, cl_wk: 0.193, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.967, t_vl: 0.918, t: 78s
[Epc 32] tt: 0.252, cl_st: 0.142, cl_wk: 0.188, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.946, t_vl: 0.887, t: 81s
[Epc 33] tt: 0.248, cl_st: 0.142, cl_wk: 0.177, cn_st: 0.008, cn_wk: 0.000, st_vl: 1.151, t_vl: 1.008, t: 83s
[Epc 34] tt: 0.254, cl_st: 0.145, cl_wk: 0.182, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.109, t_vl: 1.096, t: 83s
[Epc 35] tt: 0.259, cl_st: 0.149, cl_wk: 0.184, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.105, t_vl: 1.002, t: 83s
[Epc 36] tt: 0.247, cl_st: 0.140, cl_wk: 0.177, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.157, t_vl: 1.128, t: 83s
[Epc 37] tt: 0.241, cl_st: 0.139, cl_wk: 0.165, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.052, t_vl: 1.147, t: 67s
[Epc 38] tt: 0.244, cl_st: 0.138, cl_wk: 0.169, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.141, t_vl: 1.157, t: 72s
[Epc 39] tt: 0.230, cl_st: 0.136, cl_wk: 0.147, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.194, t_vl: 1.104, t: 83s
[Epc 40] tt: 0.235, cl_st: 0.128, cl_wk: 0.171, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.168, t_vl: 1.177, t: 83s
[Epc 41] tt: 0.231, cl_st: 0.129, cl_wk: 0.156, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.244, t_vl: 1.250, t: 83s
[Epc 42] tt: 0.230, cl_st: 0.128, cl_wk: 0.156, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.214, t_vl: 1.257, t: 83s
[Epc 43] tt: 0.234, cl_st: 0.130, cl_wk: 0.158, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.285, t_vl: 1.248, t: 70s
[Epc 44] tt: 0.228, cl_st: 0.126, cl_wk: 0.155, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.172, t_vl: 1.287, t: 63s
[Epc 45] tt: 0.227, cl_st: 0.120, cl_wk: 0.164, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.237, t_vl: 1.179, t: 83s
[Epc 46] tt: 0.230, cl_st: 0.121, cl_wk: 0.164, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.254, t_vl: 1.306, t: 83s
[Epc 47] tt: 0.229, cl_st: 0.122, cl_wk: 0.158, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.296, t_vl: 1.351, t: 83s
[Epc 48] tt: 0.215, cl_st: 0.122, cl_wk: 0.135, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.201, t_vl: 1.298, t: 83s
[Epc 49] tt: 0.222, cl_st: 0.120, cl_wk: 0.151, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.277, t_vl: 1.338, t: 79s
