==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=0_iter=8
date & time of start is : 2023-06-02 16:19:46
torch version is: 1.8.0
number of GPUs: 1
device: cuda:0
model used for this training is: DYCRNN
Total Trainable Params: 4.867 M
   training starts!
[Epc 1] tt: 0.848, cl_st: 0.534, cl_wk: 0.628, cn_st: 0.004, cn_wk: 0.000, st_vl: 0.236, t_vl: 0.334, t: 100s
[Epc 2] tt: 0.565, cl_st: 0.331, cl_wk: 0.466, cn_st: 0.027, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.234, t: 101s
[Epc 3] tt: 0.445, cl_st: 0.246, cl_wk: 0.393, cn_st: 0.046, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.072, t: 101s
[Epc 4] tt: 0.427, cl_st: 0.232, cl_wk: 0.388, cn_st: 0.030, cn_wk: 0.000, st_vl: 0.001, t_vl: 0.046, t: 101s
[Epc 5] tt: 0.422, cl_st: 0.231, cl_wk: 0.380, cn_st: 0.018, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.002, t: 100s
[Epc 6] tt: 0.409, cl_st: 0.222, cl_wk: 0.373, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.062, t_vl: 0.030, t: 102s
[Epc 7] tt: 0.404, cl_st: 0.220, cl_wk: 0.367, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.055, t_vl: 0.014, t: 102s
[Epc 8] tt: 0.398, cl_st: 0.218, cl_wk: 0.359, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.102, t_vl: 0.037, t: 102s
[Epc 9] tt: 0.386, cl_st: 0.208, cl_wk: 0.354, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.252, t_vl: 0.000, t: 101s
[Epc 10] tt: 0.379, cl_st: 0.205, cl_wk: 0.345, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.322, t_vl: 0.011, t: 102s
[Epc 11] tt: 0.365, cl_st: 0.200, cl_wk: 0.328, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.247, t_vl: 0.001, t: 102s
[Epc 12] tt: 0.361, cl_st: 0.200, cl_wk: 0.317, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.332, t_vl: 0.008, t: 102s
[Epc 13] tt: 0.351, cl_st: 0.196, cl_wk: 0.305, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.420, t_vl: 0.094, t: 102s
[Epc 14] tt: 0.339, cl_st: 0.190, cl_wk: 0.290, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.467, t_vl: 0.150, t: 103s
