==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=1_iter=2
date & time of start is : 2023-06-01 02:20:55
torch version is: 1.8.0+cu111
number of GPUs: 2
device: cuda:1
model used for this training is: DYCRNN
Total Trainable Params: 11.061 M
   training starts!
[Epc 1] tt: 0.850, cl_st: 0.532, cl_wk: 0.636, cn_st: 0.004, cn_wk: 0.000, st_vl: 0.239, t_vl: 0.305, t: 110s
[Epc 2] tt: 0.564, cl_st: 0.327, cl_wk: 0.471, cn_st: 0.027, cn_wk: 0.000, st_vl: 0.002, t_vl: 0.202, t: 114s
[Epc 3] tt: 0.440, cl_st: 0.241, cl_wk: 0.394, cn_st: 0.047, cn_wk: 0.000, st_vl: 0.001, t_vl: 0.189, t: 111s
[Epc 4] tt: 0.426, cl_st: 0.232, cl_wk: 0.386, cn_st: 0.030, cn_wk: 0.000, st_vl: 0.001, t_vl: 0.136, t: 110s
[Epc 5] tt: 0.419, cl_st: 0.228, cl_wk: 0.379, cn_st: 0.019, cn_wk: 0.000, st_vl: 0.027, t_vl: 0.130, t: 110s
[Epc 6] tt: 0.411, cl_st: 0.225, cl_wk: 0.370, cn_st: 0.015, cn_wk: 0.000, st_vl: 0.048, t_vl: 0.102, t: 110s
[Epc 7] tt: 0.405, cl_st: 0.220, cl_wk: 0.367, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.083, t_vl: 0.091, t: 111s
[Epc 8] tt: 0.392, cl_st: 0.213, cl_wk: 0.358, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.175, t_vl: 0.074, t: 110s
[Epc 9] tt: 0.381, cl_st: 0.204, cl_wk: 0.351, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.325, t_vl: 0.091, t: 110s
[Epc 10] tt: 0.380, cl_st: 0.205, cl_wk: 0.346, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.266, t_vl: 0.093, t: 110s
[Epc 11] tt: 0.370, cl_st: 0.202, cl_wk: 0.331, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.370, t_vl: 0.074, t: 110s
[Epc 12] tt: 0.363, cl_st: 0.199, cl_wk: 0.323, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.334, t_vl: 0.117, t: 110s
