==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=0_iter=4
date & time of start is : 2023-06-01 16:23:58
torch version is: 1.8.0
number of GPUs: 1
device: cuda:0
model used for this training is: DYCRNN
Total Trainable Params: 11.061 M
   training starts!
[Epc 1] tt: 0.854, cl_st: 0.536, cl_wk: 0.635, cn_st: 0.004, cn_wk: 0.000, st_vl: 0.234, t_vl: 0.300, t: 115s
[Epc 2] tt: 0.562, cl_st: 0.326, cl_wk: 0.469, cn_st: 0.028, cn_wk: 0.000, st_vl: 0.002, t_vl: 0.233, t: 120s
[Epc 3] tt: 0.440, cl_st: 0.241, cl_wk: 0.394, cn_st: 0.047, cn_wk: 0.000, st_vl: 0.001, t_vl: 0.167, t: 121s
[Epc 4] tt: 0.427, cl_st: 0.232, cl_wk: 0.387, cn_st: 0.030, cn_wk: 0.000, st_vl: 0.001, t_vl: 0.120, t: 122s
[Epc 5] tt: 0.420, cl_st: 0.229, cl_wk: 0.380, cn_st: 0.020, cn_wk: 0.000, st_vl: 0.030, t_vl: 0.065, t: 122s
[Epc 6] tt: 0.412, cl_st: 0.226, cl_wk: 0.370, cn_st: 0.015, cn_wk: 0.000, st_vl: 0.049, t_vl: 0.109, t: 122s
[Epc 7] tt: 0.406, cl_st: 0.221, cl_wk: 0.367, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.074, t_vl: 0.036, t: 121s
[Epc 8] tt: 0.392, cl_st: 0.213, cl_wk: 0.358, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.199, t_vl: 0.084, t: 122s
[Epc 9] tt: 0.381, cl_st: 0.203, cl_wk: 0.353, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.228, t_vl: 0.061, t: 121s
[Epc 10] tt: 0.380, cl_st: 0.205, cl_wk: 0.347, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.342, t_vl: 0.059, t: 120s
[Epc 11] tt: 0.372, cl_st: 0.203, cl_wk: 0.333, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.329, t_vl: 0.059, t: 121s
[Epc 12] tt: 0.364, cl_st: 0.200, cl_wk: 0.324, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.297, t_vl: 0.101, t: 121s
[Epc 13] tt: 0.355, cl_st: 0.197, cl_wk: 0.309, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.399, t_vl: 0.127, t: 121s
[Epc 14] tt: 0.338, cl_st: 0.188, cl_wk: 0.292, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.418, t_vl: 0.174, t: 121s
[Epc 15] tt: 0.333, cl_st: 0.188, cl_wk: 0.280, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.529, t_vl: 0.212, t: 121s
[Epc 16] tt: 0.322, cl_st: 0.181, cl_wk: 0.271, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.561, t_vl: 0.286, t: 121s
[Epc 17] tt: 0.315, cl_st: 0.179, cl_wk: 0.260, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.593, t_vl: 0.300, t: 121s
[Epc 18] tt: 0.303, cl_st: 0.172, cl_wk: 0.248, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.542, t_vl: 0.328, t: 121s
[Epc 19] tt: 0.308, cl_st: 0.175, cl_wk: 0.252, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.642, t_vl: 0.349, t: 121s
[Epc 20] tt: 0.299, cl_st: 0.169, cl_wk: 0.243, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.603, t_vl: 0.386, t: 121s
[Epc 21] tt: 0.294, cl_st: 0.168, cl_wk: 0.236, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.710, t_vl: 0.408, t: 121s
[Epc 22] tt: 0.291, cl_st: 0.165, cl_wk: 0.235, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.660, t_vl: 0.496, t: 120s
[Epc 23] tt: 0.275, cl_st: 0.155, cl_wk: 0.220, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.852, t_vl: 0.497, t: 120s
[Epc 24] tt: 0.277, cl_st: 0.160, cl_wk: 0.214, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.782, t_vl: 0.576, t: 120s
[Epc 25] tt: 0.278, cl_st: 0.160, cl_wk: 0.214, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.885, t_vl: 0.639, t: 120s
[Epc 26] tt: 0.274, cl_st: 0.156, cl_wk: 0.213, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.959, t_vl: 0.692, t: 121s
[Epc 27] tt: 0.268, cl_st: 0.154, cl_wk: 0.202, cn_st: 0.009, cn_wk: 0.000, st_vl: 0.906, t_vl: 0.731, t: 120s
[Epc 28] tt: 0.263, cl_st: 0.147, cl_wk: 0.206, cn_st: 0.008, cn_wk: 0.000, st_vl: 1.021, t_vl: 0.775, t: 120s
[Epc 29] tt: 0.266, cl_st: 0.150, cl_wk: 0.204, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.960, t_vl: 0.837, t: 120s
[Epc 30] tt: 0.272, cl_st: 0.157, cl_wk: 0.203, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.881, t_vl: 0.790, t: 120s
[Epc 31] tt: 0.257, cl_st: 0.145, cl_wk: 0.196, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.978, t_vl: 0.914, t: 120s
[Epc 32] tt: 0.257, cl_st: 0.145, cl_wk: 0.193, cn_st: 0.008, cn_wk: 0.000, st_vl: 0.993, t_vl: 0.929, t: 120s
[Epc 33] tt: 0.249, cl_st: 0.141, cl_wk: 0.184, cn_st: 0.007, cn_wk: 0.000, st_vl: 0.926, t_vl: 0.906, t: 120s
[Epc 34] tt: 0.251, cl_st: 0.140, cl_wk: 0.189, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.023, t_vl: 1.008, t: 120s
[Epc 35] tt: 0.259, cl_st: 0.147, cl_wk: 0.189, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.041, t_vl: 0.966, t: 120s
[Epc 36] tt: 0.249, cl_st: 0.141, cl_wk: 0.179, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.016, t_vl: 1.043, t: 120s
[Epc 37] tt: 0.248, cl_st: 0.140, cl_wk: 0.177, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.033, t_vl: 1.013, t: 120s
[Epc 38] tt: 0.250, cl_st: 0.140, cl_wk: 0.179, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.153, t_vl: 1.134, t: 120s
[Epc 39] tt: 0.237, cl_st: 0.138, cl_wk: 0.154, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.131, t_vl: 1.146, t: 120s
[Epc 40] tt: 0.252, cl_st: 0.139, cl_wk: 0.182, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.136, t_vl: 1.126, t: 120s
[Epc 41] tt: 0.241, cl_st: 0.134, cl_wk: 0.170, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.121, t_vl: 1.173, t: 120s
[Epc 42] tt: 0.232, cl_st: 0.127, cl_wk: 0.163, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.047, t_vl: 1.144, t: 120s
[Epc 43] tt: 0.241, cl_st: 0.137, cl_wk: 0.161, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.174, t_vl: 1.202, t: 120s
[Epc 44] tt: 0.232, cl_st: 0.127, cl_wk: 0.163, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.206, t_vl: 1.170, t: 119s
[Epc 45] tt: 0.236, cl_st: 0.128, cl_wk: 0.165, cn_st: 0.007, cn_wk: 0.000, st_vl: 1.182, t_vl: 1.134, t: 119s
[Epc 46] tt: 0.241, cl_st: 0.130, cl_wk: 0.172, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.252, t_vl: 1.199, t: 119s
[Epc 47] tt: 0.227, cl_st: 0.122, cl_wk: 0.160, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.121, t_vl: 1.144, t: 120s
[Epc 48] tt: 0.218, cl_st: 0.123, cl_wk: 0.139, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.164, t_vl: 1.231, t: 120s
[Epc 49] tt: 0.227, cl_st: 0.122, cl_wk: 0.158, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.131, t_vl: 1.256, t: 120s
[Epc 50] tt: 0.219, cl_st: 0.122, cl_wk: 0.142, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.104, t_vl: 1.138, t: 120s
[Epc 51] tt: 0.229, cl_st: 0.131, cl_wk: 0.146, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.138, t_vl: 1.258, t: 120s
[Epc 52] tt: 0.229, cl_st: 0.123, cl_wk: 0.161, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.242, t_vl: 1.194, t: 120s
[Epc 53] tt: 0.219, cl_st: 0.120, cl_wk: 0.149, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.192, t_vl: 1.273, t: 119s
[Epc 54] tt: 0.217, cl_st: 0.124, cl_wk: 0.133, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.288, t_vl: 1.258, t: 119s
[Epc 55] tt: 0.213, cl_st: 0.120, cl_wk: 0.137, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.252, t_vl: 1.300, t: 119s
[Epc 56] tt: 0.214, cl_st: 0.120, cl_wk: 0.137, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.248, t_vl: 1.295, t: 120s
[Epc 57] tt: 0.198, cl_st: 0.110, cl_wk: 0.129, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.318, t_vl: 1.296, t: 120s
[Epc 58] tt: 0.212, cl_st: 0.119, cl_wk: 0.136, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.292, t_vl: 1.245, t: 119s
[Epc 59] tt: 0.207, cl_st: 0.116, cl_wk: 0.134, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.328, t_vl: 1.300, t: 119s
[Epc 60] tt: 0.210, cl_st: 0.115, cl_wk: 0.143, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.191, t_vl: 1.277, t: 119s
[Epc 61] tt: 0.210, cl_st: 0.118, cl_wk: 0.131, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.211, t_vl: 1.276, t: 119s
[Epc 62] tt: 0.203, cl_st: 0.114, cl_wk: 0.128, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.260, t_vl: 1.300, t: 119s
[Epc 63] tt: 0.200, cl_st: 0.108, cl_wk: 0.135, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.291, t_vl: 1.279, t: 119s
[Epc 64] tt: 0.187, cl_st: 0.104, cl_wk: 0.118, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.330, t_vl: 1.301, t: 119s
[Epc 65] tt: 0.196, cl_st: 0.115, cl_wk: 0.115, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.249, t_vl: 1.320, t: 119s
[Epc 66] tt: 0.201, cl_st: 0.110, cl_wk: 0.132, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.318, t_vl: 1.355, t: 119s
[Epc 67] tt: 0.206, cl_st: 0.114, cl_wk: 0.134, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.283, t_vl: 1.267, t: 120s
[Epc 68] tt: 0.189, cl_st: 0.103, cl_wk: 0.122, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.331, t_vl: 1.369, t: 120s
[Epc 69] tt: 0.194, cl_st: 0.107, cl_wk: 0.126, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.335, t_vl: 1.322, t: 119s
[Epc 70] tt: 0.205, cl_st: 0.116, cl_wk: 0.126, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.275, t_vl: 1.363, t: 119s
[Epc 71] tt: 0.195, cl_st: 0.106, cl_wk: 0.129, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.312, t_vl: 1.349, t: 119s
[Epc 72] tt: 0.191, cl_st: 0.109, cl_wk: 0.117, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.313, t_vl: 1.305, t: 119s
[Epc 73] tt: 0.186, cl_st: 0.105, cl_wk: 0.116, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.284, t_vl: 1.373, t: 120s
[Epc 74] tt: 0.183, cl_st: 0.102, cl_wk: 0.117, cn_st: 0.005, cn_wk: 0.000, st_vl: 1.348, t_vl: 1.350, t: 119s
[Epc 75] tt: 0.185, cl_st: 0.106, cl_wk: 0.108, cn_st: 0.006, cn_wk: 0.000, st_vl: 1.308, t_vl: 1.366, t: 119s
[Epc 76] tt: 0.198, cl_st: 0.109, cl_wk: 0.132, cn_st: 0.005, cn_wk: 0.000, st_vl: 1.310, t_vl: 1.364, t: 119s
[Epc 77] tt: 0.191, cl_st: 0.108, cl_wk: 0.119, cn_st: 0.005, cn_wk: 0.000, st_vl: 1.281, t_vl: 1.323, t: 119s
