==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=0_iter=8
date & time of start is : 2023-06-09 19:52:20
torch version is: 1.8.0+cu111
number of GPUs: 2
device: cuda:0
model used for this training is: DYCRNN
Total Trainable Params: 4.548 M
   training starts!
[Epc 1] tt: 0.838, cl_st: 0.523, cl_wk: 0.631, cn_st: 0.004, cn_wk: 0.000, st_vl: 0.224, t_vl: 0.259, t: 73s
[Epc 2] tt: 0.567, cl_st: 0.329, cl_wk: 0.474, cn_st: 0.025, cn_wk: 0.000, st_vl: 0.030, t_vl: 0.227, t: 73s
[Epc 3] tt: 0.441, cl_st: 0.241, cl_wk: 0.394, cn_st: 0.045, cn_wk: 0.000, st_vl: 0.011, t_vl: 0.119, t: 72s
[Epc 4] tt: 0.424, cl_st: 0.229, cl_wk: 0.387, cn_st: 0.030, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.119, t: 72s
[Epc 5] tt: 0.424, cl_st: 0.233, cl_wk: 0.381, cn_st: 0.019, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.111, t: 72s
[Epc 6] tt: 0.407, cl_st: 0.220, cl_wk: 0.372, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.006, t_vl: 0.140, t: 72s
[Epc 7] tt: 0.402, cl_st: 0.218, cl_wk: 0.366, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.055, t_vl: 0.157, t: 73s
[Epc 8] tt: 0.398, cl_st: 0.217, cl_wk: 0.361, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.136, t_vl: 0.068, t: 72s
[Epc 9] tt: 0.391, cl_st: 0.211, cl_wk: 0.356, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.210, t_vl: 0.068, t: 72s
[Epc 10] tt: 0.382, cl_st: 0.205, cl_wk: 0.352, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.293, t_vl: 0.044, t: 72s
[Epc 11] tt: 0.372, cl_st: 0.201, cl_wk: 0.339, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.344, t_vl: 0.056, t: 72s
[Epc 12] tt: 0.368, cl_st: 0.201, cl_wk: 0.330, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.276, t_vl: 0.069, t: 72s
[Epc 13] tt: 0.358, cl_st: 0.196, cl_wk: 0.319, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.334, t_vl: 0.085, t: 72s
[Epc 14] tt: 0.346, cl_st: 0.191, cl_wk: 0.304, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.428, t_vl: 0.156, t: 72s
[Epc 15] tt: 0.340, cl_st: 0.191, cl_wk: 0.289, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.502, t_vl: 0.206, t: 72s
[Epc 16] tt: 0.328, cl_st: 0.185, cl_wk: 0.275, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.657, t_vl: 0.253, t: 72s
[Epc 17] tt: 0.313, cl_st: 0.174, cl_wk: 0.264, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.568, t_vl: 0.310, t: 72s
[Epc 18] tt: 0.314, cl_st: 0.180, cl_wk: 0.253, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.584, t_vl: 0.314, t: 72s
[Epc 19] tt: 0.310, cl_st: 0.177, cl_wk: 0.249, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.665, t_vl: 0.327, t: 72s
[Epc 20] tt: 0.298, cl_st: 0.168, cl_wk: 0.243, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.740, t_vl: 0.390, t: 72s
[Epc 21] tt: 0.295, cl_st: 0.169, cl_wk: 0.235, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.694, t_vl: 0.376, t: 72s
[Epc 22] tt: 0.291, cl_st: 0.162, cl_wk: 0.240, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.730, t_vl: 0.403, t: 72s
[Epc 23] tt: 0.286, cl_st: 0.163, cl_wk: 0.227, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.818, t_vl: 0.479, t: 72s
[Epc 24] tt: 0.275, cl_st: 0.157, cl_wk: 0.216, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.829, t_vl: 0.532, t: 72s
[Epc 25] tt: 0.268, cl_st: 0.154, cl_wk: 0.206, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.861, t_vl: 0.580, t: 72s
