==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=1_iter=19
date & time of start is : 2023-06-04 11:23:01
torch version is: 1.8.0+cu111
number of GPUs: 2
device: cuda:1
model used for this training is: DYCRNN
Total Trainable Params: 4.537 M
   training starts!
[Epc 1] tt: 0.842, cl_st: 0.529, cl_wk: 0.626, cn_st: 0.004, cn_wk: 0.000, st_vl: 0.270, t_vl: 0.309, t: 68s
[Epc 2] tt: 0.552, cl_st: 0.320, cl_wk: 0.462, cn_st: 0.028, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.222, t: 70s
[Epc 3] tt: 0.440, cl_st: 0.241, cl_wk: 0.393, cn_st: 0.044, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.124, t: 69s
[Epc 4] tt: 0.426, cl_st: 0.232, cl_wk: 0.386, cn_st: 0.028, cn_wk: 0.000, st_vl: 0.000, t_vl: 0.087, t: 68s
[Epc 5] tt: 0.412, cl_st: 0.222, cl_wk: 0.378, cn_st: 0.018, cn_wk: 0.000, st_vl: 0.003, t_vl: 0.034, t: 68s
[Epc 6] tt: 0.411, cl_st: 0.225, cl_wk: 0.369, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.014, t_vl: 0.040, t: 68s
[Epc 7] tt: 0.404, cl_st: 0.219, cl_wk: 0.368, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.028, t_vl: 0.031, t: 68s
[Epc 8] tt: 0.395, cl_st: 0.214, cl_wk: 0.362, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.202, t_vl: 0.033, t: 68s
[Epc 9] tt: 0.386, cl_st: 0.207, cl_wk: 0.356, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.228, t_vl: 0.035, t: 68s
[Epc 10] tt: 0.382, cl_st: 0.206, cl_wk: 0.351, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.286, t_vl: 0.026, t: 68s
[Epc 11] tt: 0.376, cl_st: 0.206, cl_wk: 0.336, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.313, t_vl: 0.023, t: 68s
[Epc 12] tt: 0.365, cl_st: 0.199, cl_wk: 0.327, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.334, t_vl: 0.062, t: 68s
[Epc 13] tt: 0.351, cl_st: 0.189, cl_wk: 0.318, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.420, t_vl: 0.108, t: 68s
[Epc 14] tt: 0.348, cl_st: 0.193, cl_wk: 0.302, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.541, t_vl: 0.142, t: 68s
[Epc 15] tt: 0.341, cl_st: 0.192, cl_wk: 0.289, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.527, t_vl: 0.158, t: 68s
[Epc 16] tt: 0.327, cl_st: 0.184, cl_wk: 0.274, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.561, t_vl: 0.205, t: 68s
[Epc 17] tt: 0.318, cl_st: 0.181, cl_wk: 0.262, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.417, t_vl: 0.248, t: 68s
[Epc 18] tt: 0.312, cl_st: 0.180, cl_wk: 0.251, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.687, t_vl: 0.319, t: 68s
[Epc 19] tt: 0.309, cl_st: 0.178, cl_wk: 0.248, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.647, t_vl: 0.367, t: 68s
