==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=0_iter=14
date & time of start is : 2023-06-03 16:49:49
torch version is: 1.8.0
number of GPUs: 1
device: cuda:0
model used for this training is: DYCRNN
Total Trainable Params: 4.439 M
   training starts!
[Epc 1] tt: 0.844, cl_st: 0.532, cl_wk: 0.623, cn_st: 0.004, cn_wk: 0.000, st_vl: 0.319, t_vl: 0.319, t: 64s
[Epc 2] tt: 0.561, cl_st: 0.331, cl_wk: 0.458, cn_st: 0.027, cn_wk: 0.000, st_vl: 0.003, t_vl: 0.276, t: 65s
[Epc 3] tt: 0.437, cl_st: 0.241, cl_wk: 0.389, cn_st: 0.044, cn_wk: 0.000, st_vl: 0.002, t_vl: 0.170, t: 65s
[Epc 4] tt: 0.427, cl_st: 0.233, cl_wk: 0.385, cn_st: 0.028, cn_wk: 0.000, st_vl: 0.001, t_vl: 0.096, t: 66s
[Epc 5] tt: 0.420, cl_st: 0.230, cl_wk: 0.379, cn_st: 0.018, cn_wk: 0.000, st_vl: 0.029, t_vl: 0.081, t: 66s
[Epc 6] tt: 0.406, cl_st: 0.220, cl_wk: 0.372, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.073, t_vl: 0.086, t: 66s
[Epc 7] tt: 0.400, cl_st: 0.216, cl_wk: 0.366, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.151, t_vl: 0.068, t: 66s
[Epc 8] tt: 0.389, cl_st: 0.210, cl_wk: 0.356, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.182, t_vl: 0.084, t: 66s
[Epc 9] tt: 0.387, cl_st: 0.210, cl_wk: 0.350, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.292, t_vl: 0.072, t: 66s
[Epc 10] tt: 0.373, cl_st: 0.201, cl_wk: 0.340, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.285, t_vl: 0.087, t: 65s
[Epc 11] tt: 0.368, cl_st: 0.203, cl_wk: 0.327, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.295, t_vl: 0.126, t: 66s
[Epc 12] tt: 0.358, cl_st: 0.198, cl_wk: 0.315, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.423, t_vl: 0.104, t: 65s
[Epc 13] tt: 0.346, cl_st: 0.189, cl_wk: 0.308, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.347, t_vl: 0.126, t: 65s
[Epc 14] tt: 0.336, cl_st: 0.187, cl_wk: 0.290, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.436, t_vl: 0.221, t: 65s
[Epc 15] tt: 0.327, cl_st: 0.186, cl_wk: 0.275, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.613, t_vl: 0.236, t: 65s
[Epc 16] tt: 0.316, cl_st: 0.178, cl_wk: 0.267, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.646, t_vl: 0.287, t: 65s
[Epc 17] tt: 0.316, cl_st: 0.182, cl_wk: 0.256, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.588, t_vl: 0.274, t: 65s
[Epc 18] tt: 0.309, cl_st: 0.179, cl_wk: 0.247, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.720, t_vl: 0.363, t: 66s
[Epc 19] tt: 0.304, cl_st: 0.174, cl_wk: 0.247, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.651, t_vl: 0.443, t: 66s
[Epc 20] tt: 0.299, cl_st: 0.171, cl_wk: 0.240, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.730, t_vl: 0.433, t: 66s
[Epc 21] tt: 0.292, cl_st: 0.167, cl_wk: 0.234, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.740, t_vl: 0.452, t: 66s
[Epc 22] tt: 0.297, cl_st: 0.170, cl_wk: 0.239, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.811, t_vl: 0.521, t: 65s
