==================================================start!!!!==================================================
save directory : exps/new_exp_gpu=0_iter=12
date & time of start is : 2023-06-03 09:20:57
torch version is: 1.8.0
number of GPUs: 1
device: cuda:0
model used for this training is: DYCRNN
Total Trainable Params: 4.439 M
   training starts!
[Epc 1] tt: 0.844, cl_st: 0.533, cl_wk: 0.623, cn_st: 0.004, cn_wk: 0.000, st_vl: 0.320, t_vl: 0.299, t: 65s
[Epc 2] tt: 0.562, cl_st: 0.331, cl_wk: 0.459, cn_st: 0.027, cn_wk: 0.000, st_vl: 0.006, t_vl: 0.280, t: 65s
[Epc 3] tt: 0.438, cl_st: 0.241, cl_wk: 0.388, cn_st: 0.045, cn_wk: 0.000, st_vl: 0.002, t_vl: 0.157, t: 65s
[Epc 4] tt: 0.427, cl_st: 0.233, cl_wk: 0.385, cn_st: 0.028, cn_wk: 0.000, st_vl: 0.004, t_vl: 0.105, t: 65s
[Epc 5] tt: 0.420, cl_st: 0.229, cl_wk: 0.379, cn_st: 0.018, cn_wk: 0.000, st_vl: 0.044, t_vl: 0.090, t: 65s
[Epc 6] tt: 0.406, cl_st: 0.219, cl_wk: 0.372, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.077, t_vl: 0.102, t: 66s
[Epc 7] tt: 0.400, cl_st: 0.216, cl_wk: 0.367, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.138, t_vl: 0.086, t: 66s
[Epc 8] tt: 0.389, cl_st: 0.210, cl_wk: 0.356, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.220, t_vl: 0.108, t: 65s
[Epc 9] tt: 0.387, cl_st: 0.211, cl_wk: 0.349, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.268, t_vl: 0.079, t: 65s
[Epc 10] tt: 0.373, cl_st: 0.201, cl_wk: 0.339, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.292, t_vl: 0.103, t: 66s
[Epc 11] tt: 0.368, cl_st: 0.202, cl_wk: 0.327, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.321, t_vl: 0.106, t: 66s
[Epc 12] tt: 0.357, cl_st: 0.197, cl_wk: 0.314, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.428, t_vl: 0.116, t: 65s
[Epc 13] tt: 0.346, cl_st: 0.189, cl_wk: 0.307, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.405, t_vl: 0.136, t: 65s
[Epc 14] tt: 0.335, cl_st: 0.187, cl_wk: 0.289, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.468, t_vl: 0.261, t: 65s
[Epc 15] tt: 0.327, cl_st: 0.185, cl_wk: 0.274, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.600, t_vl: 0.260, t: 65s
[Epc 16] tt: 0.316, cl_st: 0.178, cl_wk: 0.266, cn_st: 0.014, cn_wk: 0.000, st_vl: 0.643, t_vl: 0.326, t: 65s
[Epc 17] tt: 0.315, cl_st: 0.181, cl_wk: 0.255, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.618, t_vl: 0.278, t: 65s
[Epc 18] tt: 0.308, cl_st: 0.179, cl_wk: 0.246, cn_st: 0.013, cn_wk: 0.000, st_vl: 0.758, t_vl: 0.362, t: 65s
[Epc 19] tt: 0.303, cl_st: 0.173, cl_wk: 0.246, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.728, t_vl: 0.456, t: 65s
[Epc 20] tt: 0.300, cl_st: 0.172, cl_wk: 0.241, cn_st: 0.012, cn_wk: 0.000, st_vl: 0.768, t_vl: 0.455, t: 65s
[Epc 21] tt: 0.292, cl_st: 0.167, cl_wk: 0.234, cn_st: 0.011, cn_wk: 0.000, st_vl: 0.797, t_vl: 0.483, t: 65s
[Epc 22] tt: 0.297, cl_st: 0.170, cl_wk: 0.238, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.813, t_vl: 0.513, t: 65s
[Epc 23] tt: 0.284, cl_st: 0.163, cl_wk: 0.223, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.877, t_vl: 0.573, t: 65s
[Epc 24] tt: 0.278, cl_st: 0.162, cl_wk: 0.213, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.945, t_vl: 0.645, t: 65s
[Epc 25] tt: 0.273, cl_st: 0.159, cl_wk: 0.207, cn_st: 0.010, cn_wk: 0.000, st_vl: 0.886, t_vl: 0.688, t: 66s
